% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
2311	1	13	16	0	8	437	0	1	1	0
2312	1	10	3	0	6	153	0	1	1	0
2312	1	6	23	0	8	209	0	1	1	0
2313	2	1	12	0	28	2292	0	1	1	1
2313	1	4	18	0	28	2292	2	0	1	0
2313	3	23	30	0	28	2292	0	1	0	0
2314	1	1	12	0	28	1095	0	1	0	0
2314	1	9	26	0	8	209	0	1	1	0
2314	3	28	26	0	8	437	0	1	1	0
2315	1	5	15	0	4	105	0	1	1	0
2315	1	7	25	0	8	209	0	1	1	0
2315	2	5	15	0	4	105	0	1	0	1
2315	2	7	25	0	8	209	0	1	1	1
2316	1	15	13	0	28	2292	1	0	0	0
2316	2	3	14	0	8	209	0	1	1	1
2316	2	13	16	0	8	209	0	1	1	1
2316	3	26	16	0	8	209	0	1	1	0
2316	3	20	29	0	28	1095	1	0	1	0
2317	1	2	1	0	8	137	0	1	1	0
2317	1	3	14	0	8	137	0	1	0	0
2317	1	13	16	0	8	137	0	1	0	0
2318	1	4	18	0	28	2292	0	1	0	0
2318	3	30	25	0	4	225	0	1	1	0
2319	1	8	17	0	8	437	0	1	1	0
2320	1	11	24	0	12	621	0	1	1	0
2320	3	23	30	0	28	2292	1	0	0	0
2320	4	21	15	0	10	261	0	1	1	1
2320	4	24	23	0	4	105	0	1	1	1
2321	1	15	13	0	28	1095	0	1	0	0
2321	1	7	25	0	8	209	0	1	0	0
2321	3	21	15	0	10	173	0	1	0	0
2321	3	24	23	0	4	69	0	1	1	0
2321	3	27	24	0	8	137	0	1	1	0
2322	3	22	28	0	28	2292	0	1	1	0
2323	1	15	13	0	28	2292	2	0	1	0
2323	2	13	16	0	8	209	0	1	1	1
2323	2	9	26	0	8	209	0	1	1	1
2324	1	12	4	0	12	149	0	1	1	0
2324	1	15	13	0	28	549	0	1	0	0
2324	1	13	16	0	8	101	0	1	0	0
2324	1	9	26	0	8	101	0	1	0	0
2324	3	25	4	0	8	437	0	1	1	0
2325	1	4	18	0	28	2292	1	0	1	0
2325	3	20	29	0	28	2292	0	1	0	0
2326	1	12	4	0	12	301	0	1	1	0
2326	1	3	14	0	8	209	0	1	1	0
2326	3	17	14	0	6	153	0	1	1	0
2326	3	16	17	0	6	153	0	1	1	0
2326	4	17	14	0	6	153	0	1	0	1
2326	4	16	17	0	6	153	0	1	1	1
2327	3	23	30	0	28	2292	2	0	1	0
2327	4	28	26	0	8	437	0	1	1	1
2328	1	15	13	0	28	1095	1	0	1	0
2328	1	13	16	0	8	137	0	1	1	0
2328	2	13	16	0	8	209	0	1	0	1
2328	2	11	24	0	12	301	0	1	1	1
2329	1	10	3	0	8	137	0	1	1	0
2329	1	6	23	0	8	137	0	1	1	0
2329	1	11	24	0	12	201	0	1	0	0
2330	1	15	13	0	28	2292	0	1	0	0
2330	3	19	1	0	4	225	0	1	1	0
2331	1	1	12	0	28	749	0	1	0	0
2331	1	15	13	0	28	549	1	0	0	0
2331	1	5	15	0	4	69	0	1	1	0
2331	2	1	12	0	28	1095	0	1	0	1
2331	2	5	15	0	4	105	0	1	1	1
2331	3	29	3	0	10	261	0	1	1	0
2331	3	23	30	0	28	1095	0	1	0	0
2332	1	13	16	0	8	437	0	1	1	0
2332	3	20	29	0	28	2292	1	0	0	0
2332	4	26	16	0	8	437	0	1	1	1
2333	1	12	4	0	12	301	0	1	1	0
2333	1	9	26	0	8	209	0	1	1	0
2333	3	21	15	0	10	261	0	1	1	0
2333	3	26	16	0	8	209	0	1	0	0
2334	1	15	13	0	28	2292	0	1	0	0
2334	3	30	25	0	4	105	0	1	1	0
2334	3	23	30	0	28	1095	0	1	0	0
2337	1	15	13	0	28	2292	1	0	0	0
2337	2	13	16	0	8	437	0	1	1	1
2337	3	25	4	0	8	209	0	1	1	0
2337	3	20	29	0	28	1095	0	1	0	0
2338	1	1	12	0	28	749	1	0	0	0
2338	1	15	13	0	28	549	2	0	1	0
2338	1	13	16	0	8	101	0	1	0	0
2338	2	3	14	0	8	437	0	1	1	1
2338	3	23	30	0	28	1095	1	0	0	0
2339	1	3	14	0	8	209	0	1	0	0
2339	1	11	24	0	12	301	0	1	1	0
2339	4	17	14	0	6	153	0	1	1	1
2339	4	24	23	0	4	105	0	1	1	1
2339	3	20	29	0	28	2292	2	0	1	0
2340	1	10	3	0	8	209	0	1	1	0
2340	1	5	15	0	4	105	0	1	1	0
2340	3	17	14	0	6	101	0	1	0	0
2340	3	24	23	0	4	69	0	1	0	0
2340	3	27	24	0	8	137	0	1	1	0
2341	1	15	13	0	28	2292	1	0	0	0
2341	2	15	13	0	28	2292	0	1	1	1
2341	3	28	26	0	8	437	0	1	1	0
2342	1	15	13	0	28	1095	0	1	0	0
2342	1	9	26	0	8	209	0	1	1	0
2342	3	19	1	0	4	225	0	1	1	0
2344	1	15	13	0	28	2292	2	0	1	0
2344	2	12	4	0	12	301	0	1	1	1
2344	2	13	16	0	8	209	0	1	1	1
2344	3	29	3	0	10	173	0	1	1	0
2344	3	20	29	0	28	1095	1	0	1	0
2344	4	29	3	0	10	261	0	1	0	1
2344	4	26	16	0	8	209	0	1	1	1
2345	1	12	4	0	12	201	0	1	0	0
2345	1	1	12	0	28	749	2	0	1	0
2345	1	13	16	0	8	137	0	1	0	0
2345	3	26	16	0	8	209	0	1	0	0
2345	3	23	30	0	28	1095	2	0	1	0
2346	1	6	23	0	8	437	0	1	1	0
2346	3	19	1	0	4	105	0	1	0	0
2346	3	30	25	0	4	105	0	1	1	0
2347	3	29	3	0	10	261	0	1	0	0
2347	3	23	30	0	28	1095	0	1	1	0
2348	1	15	13	0	28	2292	2	0	1	0
2348	2	4	18	0	28	2292	0	1	0	1
2348	3	21	15	0	10	261	0	1	1	0
2348	3	24	23	0	4	105	0	1	1	0
2348	4	21	15	0	10	261	0	1	0	1
2348	4	24	23	0	4	105	0	1	1	1
2349	1	1	12	0	28	749	0	1	1	0
2349	1	4	18	0	28	749	0	1	0	0
2349	1	7	25	0	8	137	0	1	1	0
2349	2	1	12	0	28	1095	0	1	0	1
2349	2	7	25	0	8	209	0	1	1	1
2350	3	20	29	0	28	2292	0	1	1	0
2351	1	3	14	0	8	437	0	1	1	0
2352	1	11	24	0	12	301	0	1	1	0
2352	1	7	25	0	8	209	0	1	0	0
2352	3	28	26	0	10	549	0	1	1	0
2353	1	10	3	0	8	437	0	1	1	0
2354	1	8	17	0	8	437	0	1	1	0
2355	1	15	13	0	28	1095	0	1	0	0
2355	1	5	15	0	4	105	0	1	1	0
2355	2	4	18	0	28	2292	1	0	1	1
2355	3	25	4	0	8	437	0	1	1	0
2356	1	13	16	0	8	209	0	1	1	0
2356	1	11	24	0	12	301	0	1	0	0
2356	3	27	24	0	8	209	0	1	1	0
2356	3	22	28	0	28	1095	0	1	0	0
2357	1	14	2	0	6	153	0	1	1	0
2357	1	6	23	0	8	209	0	1	1	0
2357	3	26	16	0	8	209	0	1	1	0
2357	3	16	17	0	4	105	0	1	1	0
2357	4	26	16	0	8	209	0	1	0	1
2357	4	16	17	0	4	105	0	1	1	1
2358	1	12	4	0	12	621	0	1	1	0
2358	3	21	15	0	10	173	0	1	1	0
2358	3	16	17	0	4	69	0	1	0	0
2358	3	27	24	0	8	137	0	1	0	0
2359	1	15	13	0	28	2292	0	1	0	0
2359	3	30	25	0	4	225	0	1	1	0
2360	1	4	18	0	28	2292	0	1	0	0
2360	3	29	3	0	10	549	0	1	1	0
2361	1	12	4	0	12	301	0	1	0	0
2361	1	9	26	0	8	209	0	1	1	0
2361	3	19	1	0	4	105	0	1	1	0
2361	3	18	2	0	10	261	0	1	1	0
2361	4	19	1	0	4	105	0	1	1	1
2361	4	18	2	0	10	261	0	1	0	1
2362	1	15	13	0	28	1095	1	0	0	0
2362	1	3	14	0	8	209	0	1	1	0
2362	3	23	30	0	28	2292	0	1	0	0
2363	3	25	4	0	8	209	0	1	1	0
2363	3	22	28	0	28	1095	1	0	1	0
2364	1	10	3	0	8	209	0	1	1	0
2364	1	13	16	0	8	209	0	1	1	0
2364	3	20	29	0	28	2292	0	1	0	0
2365	3	28	26	0	10	549	0	1	1	0
2366	1	15	13	0	28	2292	1	0	0	0
2366	3	16	17	0	4	225	0	1	1	0
2367	2	7	25	0	8	437	0	1	1	1
2367	1	4	18	0	28	2292	1	0	1	0
