% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
2209	2	1	12	0	28	2292	0	1	1
2209	3	29	3	0	10	549	0	1	0
2209	4	29	3	0	10	549	0	1	1
2210	1	11	24	0	12	301	0	1	0
2210	1	12	4	0	12	301	0	1	0
2210	2	12	4	0	12	301	0	1	1
2210	2	11	24	0	12	301	0	1	1
2210	3	18	2	0	10	261	0	1	0
2210	3	30	25	0	4	105	0	1	0
2210	4	18	2	0	10	261	0	1	1
2210	4	30	25	0	4	105	0	1	1
2211	3	20	29	0	28	1095	0	1	0
2211	3	24	23	0	4	105	0	1	0
2211	4	24	23	0	4	105	0	1	1
2211	4	20	29	0	28	1095	0	1	1
2212	1	9	26	0	8	209	0	1	0
2212	1	13	16	0	8	209	0	1	0
2212	2	13	16	0	8	209	0	1	1
2212	2	9	26	0	8	209	0	1	1
2212	3	23	30	0	28	1095	0	0	0
2212	3	28	26	0	10	261	0	1	0
2212	4	28	26	0	10	549	0	1	1
2213	1	4	18	0	28	749	0	0	0
2213	1	15	13	0	28	1095	0	0	0
2213	2	15	13	0	28	1095	0	1	1
2213	2	9	26	0	8	209	0	1	1
2213	3	17	14	0	6	325	0	1	0
2213	4	17	14	0	6	325	0	1	1
2214	1	8	17	0	8	137	0	1	0
2214	1	9	26	0	8	137	0	1	0
2214	1	15	13	0	28	749	0	1	0
2214	2	8	17	0	8	437	0	1	1
2215	1	7	25	0	8	209	0	1	0
2215	1	8	17	0	8	209	0	1	0
2215	2	8	17	0	8	209	0	1	1
2215	2	7	25	0	8	209	0	1	1
2216	1	1	12	0	28	2292	0	0	0
2216	2	3	14	0	8	209	0	1	1
2216	2	4	18	0	28	1095	0	1	1
2216	3	27	24	0	8	437	0	1	0
2216	4	27	24	0	8	437	0	1	1
2217	1	3	14	0	8	209	0	1	0
2217	1	4	18	0	28	1095	0	1	0
2217	2	3	14	0	8	437	0	1	1
2217	3	27	24	0	8	437	0	1	0
2217	4	27	24	0	8	437	0	1	1
2218	1	11	24	0	12	301	0	1	0
2218	1	12	4	0	12	301	0	1	0
2218	2	12	4	0	12	301	0	1	1
2218	2	11	24	0	12	301	0	1	1
2218	3	28	26	0	10	549	0	1	0
2218	4	28	26	0	10	549	0	1	1
2219	1	5	15	0	4	225	0	1	0
2219	2	5	15	0	4	225	0	1	1
2221	1	15	13	0	28	2292	0	1	0
2221	2	15	13	0	28	2292	0	1	1
2221	3	18	2	0	10	261	0	1	0
2221	3	21	15	0	10	261	0	1	0
2221	4	18	2	0	10	261	0	1	1
2221	4	21	15	0	10	261	0	1	1
2222	1	10	3	0	6	325	0	1	0
2222	2	10	3	0	6	325	0	1	1
2222	3	22	28	0	28	1095	0	1	0
