% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
1.194	1	11	120	5	24	24	1620	0	0	1
1.194	3	23	120	5	30	24	1620	0	0	0
1.194	3	17	120	5	14	22	1383	0	0	1
1.195	1	5	120	6	15	22	1383	0	0	1
1.195	3	17	120	6	14	12	597	0	0	0
1.195	3	26	120	6	16	22	1383	0	0	1
1.196	1	1	120	7	12	12	597	0	0	1
1.196	3	26	120	7	16	12	597	0	0	0
1.196	3	16	120	7	17	8	421	0	0	1
1.197	1	15	120	8	13	12	597	0	0	0
1.197	1	15	120	8	13	12	597	0	0	1
1.197	3	24	120	8	23	8	421	0	0	0
1.197	3	24	120	8	23	8	421	0	0	1
1.198	1	15	120	9	13	12	597	0	0	0
1.198	1	15	120	9	13	12	597	0	0	1
1.198	3	22	120	9	28	6	309	0	0	0
1.198	3	16	120	9	17	8	421	0	0	1
1.199	1	4	120	10	18	12	597	0	0	0
1.199	1	4	120	10	18	12	597	0	0	1
1.199	3	20	120	10	29	14	775	0	0	0
1.199	3	20	120	10	29	14	775	0	0	1
1.2	1	4	121	1	18	12	597	0	0	0
1.2	1	4	121	1	18	12	597	0	0	1
1.2	3	20	121	1	29	14	775	0	0	0
1.2	3	29	121	1	3	22	1383	0	0	1
1.201	1	8	121	2	17	26	1836	0	0	0
1.201	1	1	121	2	12	24	1620	0	0	1
1.201	3	24	121	2	23	20	1191	0	0	0
1.201	3	20	121	2	29	26	1836	0	0	1
1.202	1	2	121	3	1	20	1191	0	0	0
1.202	1	8	121	3	17	26	1836	0	0	1
1.202	3	29	121	3	3	22	1383	0	0	0
1.202	3	24	121	3	23	20	1191	0	0	1
1.203	1	2	121	4	1	8	421	0	0	1
1.203	3	29	121	4	3	22	1383	0	0	0
1.203	3	29	121	4	3	14	775	0	0	1
1.204	1	2	121	5	1	8	421	0	0	1
1.204	3	16	121	5	17	8	421	0	0	1
1.205	1	9	121	6	26	14	775	0	0	0
1.205	1	9	121	6	26	14	775	0	0	1
1.205	3	22	121	6	28	6	309	0	0	1
1.206	1	9	121	7	26	14	775	0	0	0
1.206	1	2	121	7	1	20	1191	0	0	1
1.207	1	7	121	8	25	8	421	0	0	0
1.207	1	7	121	8	25	8	421	0	0	1
1.208	1	8	121	9	17	26	1836	0	0	0
1.208	1	14	121	9	2	24	1620	0	0	1
1.208	3	24	121	9	23	20	1191	0	0	0
1.209	1	2	121	10	1	20	1191	0	0	0
1.209	1	7	121	10	25	20	1191	0	0	1
1.209	3	29	121	10	3	22	1383	0	0	0
1.21	1	14	122	1	2	12	597	0	0	0
1.21	1	9	122	1	26	26	1836	0	0	1
1.211	1	7	122	2	25	20	1191	0	0	0
1.211	1	14	122	2	2	24	1620	0	0	1
1.212	1	14	122	3	2	24	1620	0	0	0
1.212	1	7	122	3	25	20	1191	0	0	1
